id,tag_string,score
12,cat feline mammal 4_legged black_fur purring,32
45,dog canine mammal black_fur 4_legged barking,11
325,snake reptile green_scales yellow_eyes eating ice_cream ,2
23,fox canine mammal red_fur bushy_tail pointy_ears forest_hunting nocturnal sniffing running small_predator,100
397,tiger feline mammal orange_stripes black_stripes big_cat predator jungle stealth roaring 4_legged claws hunting,345
46,parrot bird tropical colorful_wings green_feathers red_beak flying talking perched exotic,25
29,elephant mammal large_gray_trunk tusks herd savannah 4_legged wrinkled_skin herbivore stomping ears_flaring,126
62,dolphin aquatic mammal playful gray_smooth_fins jumping ocean pod sonar swimming intelligent,43
64,frog amphibian green_skin big_eyes jumping pond wet slippery insectivore croaking,185
33,owl bird nocturnal round_eyes flying silent feathers forest perched hunting night predator,322
100,dragon mythical fire_wings scales claws flying spitting_fire horned fantasy legendary tail soaring,2350
